Source,Target,Weight,Type
000c_the_summer_before,004c_mary_anne_saves_the_day,3,undirected
000c_the_summer_before,010c_logan_likes_mary_anne,8,undirected
000c_the_summer_before,019c_claudia_and_the_bad_joke,9,undirected
000c_the_summer_before,026c_claudia_and_the_sad_goodbye,28,undirected
000c_the_summer_before,028c_welcome_back_stacey,3,undirected
000c_the_summer_before,033c_claudia_and_the_great_search,6,undirected
000c_the_summer_before,041c_mary_anne_vs_logan,2,undirected
000c_the_summer_before,046c_mary_anne_misses_logan,1,undirected
001c_kristys_great_idea,002c_claudia_and_the_phantom_phone_calls,49,undirected
001c_kristys_great_idea,003c_the_truth_about_stacey,21,undirected
001c_kristys_great_idea,004c_mary_anne_saves_the_day,30,undirected
001c_kristys_great_idea,005c_dawn_and_the_impossible_three,45,undirected
001c_kristys_great_idea,006c_kristys_big_day,6,undirected
001c_kristys_great_idea,007c_claudia_and_mean_jeanine,32,undirected
001c_kristys_great_idea,008c_boy_crazy_stacey,1,undirected
001c_kristys_great_idea,010c_logan_likes_mary_anne,5,undirected
002c_claudia_and_the_phantom_phone_calls,001c_kristys_great_idea,49,undirected
002c_claudia_and_the_phantom_phone_calls,004c_mary_anne_saves_the_day,36,undirected
002c_claudia_and_the_phantom_phone_calls,005c_dawn_and_the_impossible_three,5,undirected
002c_claudia_and_the_phantom_phone_calls,007c_claudia_and_mean_jeanine,2,undirected
002c_claudia_and_the_phantom_phone_calls,009c_the_ghost_at_dawns_house,6,undirected
002c_claudia_and_the_phantom_phone_calls,014c_hello_mallory,1,undirected
002c_claudia_and_the_phantom_phone_calls,019c_claudia_and_the_bad_joke,3,undirected
002c_claudia_and_the_phantom_phone_calls,037c_dawn_and_the_older_boy,1,undirected
003c_the_truth_about_stacey,001c_kristys_great_idea,21,undirected
003c_the_truth_about_stacey,004c_mary_anne_saves_the_day,22,undirected
003c_the_truth_about_stacey,005c_dawn_and_the_impossible_three,1,undirected
003c_the_truth_about_stacey,007c_claudia_and_mean_jeanine,6,undirected
003c_the_truth_about_stacey,013c_goodbye_stacey_goodbye,1,undirected
003c_the_truth_about_stacey,014c_hello_mallory,2,undirected
003c_the_truth_about_stacey,019c_claudia_and_the_bad_joke,4,undirected
003c_the_truth_about_stacey,036c_jessis_babysitter,1,undirected
003c_the_truth_about_stacey,043c_staceys_emergency,3,undirected
004c_mary_anne_saves_the_day,000c_the_summer_before,3,undirected
004c_mary_anne_saves_the_day,001c_kristys_great_idea,30,undirected
004c_mary_anne_saves_the_day,002c_claudia_and_the_phantom_phone_calls,36,undirected
004c_mary_anne_saves_the_day,003c_the_truth_about_stacey,22,undirected
004c_mary_anne_saves_the_day,005c_dawn_and_the_impossible_three,27,undirected
004c_mary_anne_saves_the_day,007c_claudia_and_mean_jeanine,2,undirected
004c_mary_anne_saves_the_day,010c_logan_likes_mary_anne,24,undirected
004c_mary_anne_saves_the_day,012c_claudia_and_the_new_girl,11,undirected
004c_mary_anne_saves_the_day,019c_claudia_and_the_bad_joke,4,undirected
005c_dawn_and_the_impossible_three,001c_kristys_great_idea,45,undirected
005c_dawn_and_the_impossible_three,002c_claudia_and_the_phantom_phone_calls,5,undirected
005c_dawn_and_the_impossible_three,003c_the_truth_about_stacey,1,undirected
005c_dawn_and_the_impossible_three,004c_mary_anne_saves_the_day,27,undirected
005c_dawn_and_the_impossible_three,006c_kristys_big_day,17,undirected
005c_dawn_and_the_impossible_three,007c_claudia_and_mean_jeanine,28,undirected
005c_dawn_and_the_impossible_three,008c_boy_crazy_stacey,30,undirected
005c_dawn_and_the_impossible_three,009c_the_ghost_at_dawns_house,12,undirected
005c_dawn_and_the_impossible_three,011c_kristy_and_the_snobs,27,undirected
005c_dawn_and_the_impossible_three,013c_goodbye_stacey_goodbye,18,undirected
005c_dawn_and_the_impossible_three,041c_mary_anne_vs_logan,2,undirected
006c_kristys_big_day,001c_kristys_great_idea,6,undirected
006c_kristys_big_day,005c_dawn_and_the_impossible_three,17,undirected
006c_kristys_big_day,007c_claudia_and_mean_jeanine,20,undirected
006c_kristys_big_day,008c_boy_crazy_stacey,5,undirected
006c_kristys_big_day,011c_kristy_and_the_snobs,14,undirected
006c_kristys_big_day,013c_goodbye_stacey_goodbye,3,undirected
006c_kristys_big_day,024c_kristy_and_the_mothers_day_surprise,14,undirected
007c_claudia_and_mean_jeanine,001c_kristys_great_idea,32,undirected
007c_claudia_and_mean_jeanine,002c_claudia_and_the_phantom_phone_calls,2,undirected
007c_claudia_and_mean_jeanine,003c_the_truth_about_stacey,6,undirected
007c_claudia_and_mean_jeanine,004c_mary_anne_saves_the_day,2,undirected
007c_claudia_and_mean_jeanine,005c_dawn_and_the_impossible_three,28,undirected
007c_claudia_and_mean_jeanine,006c_kristys_big_day,20,undirected
007c_claudia_and_mean_jeanine,011c_kristy_and_the_snobs,19,undirected
007c_claudia_and_mean_jeanine,013c_goodbye_stacey_goodbye,1,undirected
007c_claudia_and_mean_jeanine,015c_little_miss_stoneybrook_and_dawn,8,undirected
007c_claudia_and_mean_jeanine,019c_claudia_and_the_bad_joke,9,undirected
007c_claudia_and_mean_jeanine,021c_mallory_and_the_trouble_with_twins,1,undirected
007c_claudia_and_mean_jeanine,023c_dawn_on_the_coast,2,undirected
007c_claudia_and_mean_jeanine,024c_kristy_and_the_mothers_day_surprise,2,undirected
007c_claudia_and_mean_jeanine,029c_mallory_and_the_mystery_diary,1,undirected
007c_claudia_and_mean_jeanine,034c_mary_anne_and_too_many_boys,2,undirected
007c_claudia_and_mean_jeanine,036c_jessis_babysitter,3,undirected
007c_claudia_and_mean_jeanine,045c_kristy_and_the_baby_parade,2,undirected
007c_claudia_and_mean_jeanine,068c_jessi_and_the_bad_babysitter,4,undirected
008c_boy_crazy_stacey,001c_kristys_great_idea,1,undirected
008c_boy_crazy_stacey,005c_dawn_and_the_impossible_three,30,undirected
008c_boy_crazy_stacey,006c_kristys_big_day,5,undirected
008c_boy_crazy_stacey,009c_the_ghost_at_dawns_house,47,undirected
008c_boy_crazy_stacey,010c_logan_likes_mary_anne,6,undirected
008c_boy_crazy_stacey,034c_mary_anne_and_too_many_boys,1,undirected
008c_boy_crazy_stacey,064c_dawns_family_feud,4,undirected
009c_the_ghost_at_dawns_house,002c_claudia_and_the_phantom_phone_calls,6,undirected
009c_the_ghost_at_dawns_house,005c_dawn_and_the_impossible_three,12,undirected
009c_the_ghost_at_dawns_house,008c_boy_crazy_stacey,47,undirected
009c_the_ghost_at_dawns_house,010c_logan_likes_mary_anne,8,undirected
009c_the_ghost_at_dawns_house,011c_kristy_and_the_snobs,5,undirected
009c_the_ghost_at_dawns_house,023c_dawn_on_the_coast,5,undirected
010c_logan_likes_mary_anne,000c_the_summer_before,8,undirected
010c_logan_likes_mary_anne,001c_kristys_great_idea,5,undirected
010c_logan_likes_mary_anne,004c_mary_anne_saves_the_day,24,undirected
010c_logan_likes_mary_anne,008c_boy_crazy_stacey,6,undirected
010c_logan_likes_mary_anne,009c_the_ghost_at_dawns_house,8,undirected
010c_logan_likes_mary_anne,012c_claudia_and_the_new_girl,18,undirected
010c_logan_likes_mary_anne,017c_mary_annes_bad_luck_mystery,12,undirected
010c_logan_likes_mary_anne,019c_claudia_and_the_bad_joke,32,undirected
010c_logan_likes_mary_anne,025c_mary_anne_and_the_search_for_tigger,1,undirected
010c_logan_likes_mary_anne,041c_mary_anne_vs_logan,1,undirected
010c_logan_likes_mary_anne,055c_jessis_gold_medal,1,undirected
011c_kristy_and_the_snobs,005c_dawn_and_the_impossible_three,27,undirected
011c_kristy_and_the_snobs,006c_kristys_big_day,14,undirected
011c_kristy_and_the_snobs,007c_claudia_and_mean_jeanine,19,undirected
011c_kristy_and_the_snobs,009c_the_ghost_at_dawns_house,5,undirected
011c_kristy_and_the_snobs,014c_hello_mallory,6,undirected
011c_kristy_and_the_snobs,015c_little_miss_stoneybrook_and_dawn,2,undirected
011c_kristy_and_the_snobs,020c_kristy_and_the_walking_disaster,26,undirected
011c_kristy_and_the_snobs,021c_mallory_and_the_trouble_with_twins,1,undirected
011c_kristy_and_the_snobs,022c_jessi_ramsey_petsitter,7,undirected
011c_kristy_and_the_snobs,024c_kristy_and_the_mothers_day_surprise,3,undirected
011c_kristy_and_the_snobs,025c_mary_anne_and_the_search_for_tigger,14,undirected
012c_claudia_and_the_new_girl,004c_mary_anne_saves_the_day,11,undirected
012c_claudia_and_the_new_girl,010c_logan_likes_mary_anne,18,undirected
012c_claudia_and_the_new_girl,019c_claudia_and_the_bad_joke,34,undirected
012c_claudia_and_the_new_girl,026c_claudia_and_the_sad_goodbye,3,undirected
012c_claudia_and_the_new_girl,028c_welcome_back_stacey,1,undirected
